market,model,mechanism,rate,MAE_mean,MAE_std,rMAE_mean,rMAE_std,MAE_spike_mean,MAE_spike_std,rate_eff,n
DE,lear,block,0.1,4.437733706665215,0.049408710307641275,0.4889923011571888,0.005444328242196,8.779477238462595,0.0542867343490269,0.10119047619047619,5
DE,lear,block,0.2,4.558755505641632,0.05692180049794222,0.5023276502077139,0.006272192982128186,9.121736539688902,0.13068919546002405,0.20238095238095238,5
DE,lear,block,0.3,4.687664877591286,0.049484811275850825,0.5165321281230318,0.005452713780857116,9.505823354930063,0.18859051104509705,0.2976190476190476,5
DE,lear,block,0.5,5.046411816653861,0.08797959635541854,0.5560623259358997,0.009694440478053287,10.39623478160185,0.20461376171363038,0.5,5
DE,lear,block,0.7,5.5247793232242755,0.10021779506654516,0.6087734716013916,0.011042963247859116,11.643822861157762,0.15024248186537853,0.7023809523809523,5
DE,lear,block,0.9,6.3722772013848985,0.061447647900526654,0.7021589618224843,0.006770894500146723,13.486498846122277,0.11140515328465803,0.898809523809524,5
DE,lear,block,0.95,6.7193266498893705,0.031174763513495383,0.7404002173049051,0.0034351361204029546,14.02325859267819,0.044838742965146165,0.9523809523809523,5
DE,lear,mcar,0.1,4.408541211319146,0.022299703303894688,0.48577559046218804,0.0024571963877229454,8.799365284753643,0.07185630581938193,0.10072650419391058,5
DE,lear,mcar,0.2,4.493050970923167,0.02749832424579634,0.49508769086085425,0.003030030583115585,9.109969345453564,0.12907020661394417,0.2015388679743742,5
DE,lear,mcar,0.3,4.598338427435619,0.014968174134025595,0.5066892783030399,0.0016493377921540462,9.426082638143257,0.12096105795434375,0.30159335578891755,5
DE,lear,mcar,0.5,4.872676300837163,0.03699787312929811,0.5369184711470599,0.004076782500997006,10.238842449826215,0.08075797894164456,0.5004342513704512,5
DE,lear,mcar,0.7,5.265434800129052,0.04269381477909797,0.5801963907030098,0.004704416288578587,11.239235168069843,0.1748871218543916,0.6994699821676243,5
DE,lear,mcar,0.9,6.120195649919056,0.024423195776078904,0.674382185188632,0.002691183269113257,13.013777821946722,0.13257756414857413,0.9001535565682584,5
DE,lear,mcar,0.95,6.494813458874333,0.010615586490637359,0.7156611885187263,0.0011697277054712547,13.612355533410659,0.10990408806046051,0.9498827686414371,5
DE,lear,mcar,1.0,6.973973070974433,,0.7684596160112325,,14.339187736467231,,1.0,1
DE,lear,none,0.0,4.345288849516264,,0.47880583517805203,,8.530687384951898,,0.0,1
