market,model,uid,variant,rate,mechanism,mask_seed,MSE,RMSE,MAE,rMAE,sMAPE,MAE_spike,spike_threshold,masking_rate_effective
DE,lear,4cd2e500,full,0.0,none,0,48.628658620973376,6.973425171389837,4.345288849516264,0.47880583517805203,17.044917549127348,8.530687384951898,46.94000244140625,0.0
DE,lear,4cd2e500,full,0.1,mcar,0,50.10050531547116,7.078171043106486,4.379975832010164,0.4826279814606052,17.1417991795858,8.786756879593124,46.94000244140625,0.10081896836404465
DE,lear,4cd2e500,full,0.1,mcar,1,50.19101298763625,7.0845615945968206,4.427085873378519,0.4878190201887116,17.337252622354303,8.783480185538426,46.94000244140625,0.10048873918499439
DE,lear,4cd2e500,full,0.1,mcar,2,50.28274180100969,7.0910324918878835,4.389203650941465,0.4836447915515536,17.14236532094563,8.69863533561205,46.94000244140625,0.10160326266428901
DE,lear,4cd2e500,full,0.1,mcar,3,50.710905205041264,7.121158979059607,4.42670791445647,0.4877773730293163,17.234472010400616,8.89352471330724,46.94000244140625,0.10000165114589525
DE,lear,4cd2e500,full,0.1,mcar,4,52.016980870762254,7.21227986636419,4.419732785809112,0.4870087860807537,17.24648069339339,8.834429309717374,46.94000244140625,0.10071989961032957
DE,lear,4cd2e500,full,0.1,block,0,51.22180548341676,7.156941070276935,4.454344544981676,0.49082264353224303,17.480158277117887,8.796616862251959,46.94000244140625,0.10119047619047619
DE,lear,4cd2e500,full,0.1,block,1,55.501605039548146,7.449939935298012,4.510883363705237,0.49705263588866117,17.6213695455755,8.85338659957481,46.94000244140625,0.10119047619047619
DE,lear,4cd2e500,full,0.1,block,2,50.996680806393684,7.141196034726514,4.438106867542875,0.4890334196217768,17.357210170560705,8.704924865027476,46.94000244140625,0.10119047619047619
DE,lear,4cd2e500,full,0.1,block,3,50.7418137645841,7.123328840126932,4.398827767294973,0.4847052695147171,17.174656921733337,8.78422339812282,46.94000244140625,0.10119047619047619
DE,lear,4cd2e500,full,0.1,block,4,49.56591788797588,7.040306661501037,4.386505989801316,0.4833475372285458,17.110550918393276,8.758234467335914,46.94000244140625,0.10119047619047619
DE,lear,4cd2e500,full,0.2,mcar,0,52.88127044377494,7.2719509379378335,4.488019469706923,0.4945332715286822,17.49295323176439,9.071581659020024,46.94000244140625,0.20244699821676243
DE,lear,4cd2e500,full,0.2,mcar,1,53.30501894302283,7.301028622257471,4.5213615913056024,0.49820722806679385,17.505362668768605,9.123941207014566,46.94000244140625,0.20090317680470246
DE,lear,4cd2e500,full,0.2,mcar,2,51.90824542468182,7.204737706862188,4.448756937951993,0.4902069470979791,17.293398793096127,8.913508805711652,46.94000244140625,0.20301664355062413
DE,lear,4cd2e500,full,0.2,mcar,3,52.76376845368362,7.263867320765407,4.500815304021178,0.4959432399675626,17.400623507688387,9.251853653578884,46.94000244140625,0.20052341324879466
DE,lear,4cd2e500,full,0.2,mcar,4,54.81636487917403,7.403807458272671,4.506301551630141,0.4965477676432534,17.440039428921768,9.188961401942692,46.94000244140625,0.2008041080509874
DE,lear,4cd2e500,full,0.2,block,0,53.94708093812219,7.344867659673807,4.55020090511867,0.501385021814099,17.804781994260523,8.982333995066712,46.94000244140625,0.20238095238095238
DE,lear,4cd2e500,full,0.2,block,1,59.09398817534203,7.687261422336437,4.645637652524577,0.5119011631181344,18.037875607101274,9.330296859609215,46.94000244140625,0.20238095238095238
DE,lear,4cd2e500,full,0.2,block,2,58.19157697006829,7.628340381109661,4.579240241207241,0.5045848559449078,17.76187824529403,9.06982121363093,46.94000244140625,0.20238095238095238
DE,lear,4cd2e500,full,0.2,block,3,54.9890073122319,7.415457323202117,4.513657434417647,0.497358309755301,17.559021859966773,9.07744786043618,46.94000244140625,0.20238095238095238
DE,lear,4cd2e500,full,0.2,block,4,52.75997268937975,7.263606038971259,4.5050412949400265,0.4964089004061269,17.46607049644138,9.148782769701473,46.94000244140625,0.20238095238095238
DE,lear,4cd2e500,full,0.3,mcar,0,55.324785866324994,7.438063314218628,4.572153690728776,0.5038039914643448,17.67769150654997,9.427715374111717,46.94000244140625,0.30201109570041607
DE,lear,4cd2e500,full,0.3,mcar,1,55.13201539389321,7.4250936286280735,4.605091800195885,0.5074334300491564,17.80873421310274,9.321890641798747,46.94000244140625,0.30023611386302096
DE,lear,4cd2e500,full,0.3,mcar,2,56.36052655344068,7.507364820856962,4.605234649960663,0.5074491706140067,17.725522691489555,9.364743562718164,46.94000244140625,0.30340631398190343
DE,lear,4cd2e500,full,0.3,mcar,3,55.29539564947173,7.436087388504235,4.600200677656543,0.5068944789935393,17.649039689612827,9.631469761761553,46.94000244140625,0.3011855227527904
DE,lear,4cd2e500,full,0.3,mcar,4,58.118302154581485,7.623536066326537,4.609011318636227,0.5078653203941521,17.787728916953906,9.384593850326098,46.94000244140625,0.30112773264645665
DE,lear,4cd2e500,full,0.3,block,0,57.6117724787904,7.590241924918494,4.671479214797459,0.5147486356878233,18.136538479982185,9.452535612772905,46.94000244140625,0.2976190476190476
DE,lear,4cd2e500,full,0.3,block,1,64.04638726674672,8.002898679025414,4.763617926816725,0.5249013676438418,18.322080307083688,9.839554075001296,46.94000244140625,0.2976190476190476
DE,lear,4cd2e500,full,0.3,block,2,61.79851983643479,7.861203459804027,4.7085915866186925,0.5188380347590226,18.18402622101431,9.44570018675913,46.94000244140625,0.2976190476190476
DE,lear,4cd2e500,full,0.3,block,3,58.986953891523434,7.680296471590367,4.653252859331643,0.512740280051803,17.976187006334836,9.404733781033595,46.94000244140625,0.2976190476190476
DE,lear,4cd2e500,full,0.3,block,4,55.690133574017246,7.462582232311899,4.6413828003919075,0.5114323224726687,17.983548357121645,9.386593119083392,46.94000244140625,0.2976190476190476
DE,lear,4cd2e500,full,0.5,mcar,0,62.547071432677626,7.908670648894011,4.826563745530402,0.5318373450538415,18.444647126486995,10.24192817098404,46.94000244140625,0.5001898817779539
DE,lear,4cd2e500,full,0.5,mcar,1,63.33639234521029,7.958416447083571,4.862316775090486,0.5357769586840303,18.548242355389306,10.221132200344487,46.94000244140625,0.4982332738920811
DE,lear,4cd2e500,full,0.5,mcar,2,65.24013743624488,8.077136710260937,4.893953788297021,0.5392630299339498,18.50075877593739,10.339115838003544,46.94000244140625,0.49997523281157125
DE,lear,4cd2e500,full,0.5,mcar,3,65.4650530457521,8.091047710015811,4.923210064900787,0.5424867686630852,18.652844378493697,10.273611879403754,46.94000244140625,0.502286837064923
DE,lear,4cd2e500,full,0.5,mcar,4,65.77363737996933,8.110094782428213,4.857337130367122,0.5352282534003929,18.464243295926074,10.118424160395252,46.94000244140625,0.5014860313057262
DE,lear,4cd2e500,full,0.5,block,0,63.42420217614586,7.9639313266844445,4.9466332046731,0.5450677561162952,18.945060233284792,10.207524370019685,46.94000244140625,0.5
DE,lear,4cd2e500,full,0.5,block,1,72.14153979156471,8.493617591554537,5.089935049655754,0.5608581355238952,19.206598448504085,10.644783884596247,46.94000244140625,0.5
DE,lear,4cd2e500,full,0.5,block,2,72.48303630928237,8.513696982467861,5.096895110866178,0.561625062196933,19.297283923052774,10.434526058491814,46.94000244140625,0.5
DE,lear,4cd2e500,full,0.5,block,3,76.12878977416801,8.725181360531597,5.140254917047777,0.5664028638416383,19.512256645517116,10.525772600712935,46.94000244140625,0.5
DE,lear,4cd2e500,full,0.5,block,4,65.7620601658449,8.109380997699201,4.958340801026498,0.5463578120007366,18.974810144151245,10.168566994188566,46.94000244140625,0.5
DE,lear,4cd2e500,full,0.7,mcar,0,71.46951135773604,8.453964239203762,5.215385580305363,0.574681484944706,19.503155735060478,11.161425954605331,46.94000244140625,0.6982943662902054
DE,lear,4cd2e500,full,0.7,mcar,1,74.83261167259883,8.650584469999632,5.3114457177829255,0.5852663173793513,19.7897907981439,11.54381658186687,46.94000244140625,0.699375866851595
DE,lear,4cd2e500,full,0.7,mcar,2,72.86125557177589,8.535880480171679,5.224977402349782,0.5757384044094196,19.450665179725707,11.227827960919619,46.94000244140625,0.6980301829469652
DE,lear,4cd2e500,full,0.7,mcar,3,74.2681111851598,8.617894823282528,5.292286107565483,0.5831551267336776,19.681779935935012,11.12163436234066,46.94000244140625,0.7013985205732779
DE,lear,4cd2e500,full,0.7,mcar,4,76.01516864194076,8.71866782495702,5.283079192641704,0.5821406200478946,19.64819630620822,11.141470980616727,46.94000244140625,0.7002509741760782
DE,lear,4cd2e500,full,0.7,block,0,75.69564270747833,8.700324287489423,5.45404125990495,0.6009788695255691,20.299261213876658,11.83068950063492,46.94000244140625,0.7023809523809523
DE,lear,4cd2e500,full,0.7,block,1,80.53237586733968,8.973983277638737,5.503332304282151,0.6064102322006768,20.343234379977055,11.51547861924221,46.94000244140625,0.7023809523809523
DE,lear,4cd2e500,full,0.7,block,2,83.74884683516065,9.151439604519098,5.51868847658719,0.6081023233735043,20.62797834417937,11.521306772683044,46.94000244140625,0.7023809523809523
DE,lear,4cd2e500,full,0.7,block,3,88.97988419295484,9.432914936166595,5.696073744840441,0.6276483430871848,21.163563723068684,11.780323390454708,46.94000244140625,0.7023809523809523
DE,lear,4cd2e500,full,0.7,block,4,79.11747812976263,8.894800623384576,5.451760830506648,0.6007275898200231,20.12807111033933,11.571316022773928,46.94000244140625,0.7023809523809523
DE,lear,4cd2e500,full,0.9,mcar,0,93.8460203550214,9.687415566342832,6.092123165981559,0.6712888881529904,21.91226392584925,13.170654449770883,46.94000244140625,0.8995442837329106
DE,lear,4cd2e500,full,0.9,mcar,1,95.44052484940856,9.769366655490446,6.148373012789631,0.6774870387966638,22.129923199986344,13.129837888609854,46.94000244140625,0.9008486889901591
DE,lear,4cd2e500,full,0.9,mcar,2,91.48954405068287,9.565016678013837,6.100508023454699,0.6722128126202263,22.016672730708525,12.942254497655673,46.94000244140625,0.8985948748431412
DE,lear,4cd2e500,full,0.9,mcar,3,93.29605667782263,9.658988387912196,6.140584127031098,0.6766287842410119,22.08622388563804,12.85464268544691,46.94000244140625,0.901550425995641
DE,lear,4cd2e500,full,0.9,mcar,4,93.63191940506294,9.676358788566231,6.119389920338293,0.6742934021322678,22.031040322807783,12.971499588250289,46.94000244140625,0.9002295092794399
DE,lear,4cd2e500,full,0.9,block,0,96.59731564031758,9.828393339723313,6.308490653970535,0.6951303448155254,22.588378263504218,13.614950898334367,46.94000244140625,0.8988095238095238
DE,lear,4cd2e500,full,0.9,block,1,100.55928636607034,10.027925327108811,6.344746643781551,0.6991253794571473,22.614341310670053,13.330254021262903,46.94000244140625,0.8988095238095238
DE,lear,4cd2e500,full,0.9,block,2,101.61894888204428,10.080622445168963,6.402971343204923,0.7055411384091677,22.8583740711109,13.558745075124634,46.94000244140625,0.8988095238095238
DE,lear,4cd2e500,full,0.9,block,3,104.03578998332749,10.199793624545915,6.463813254527896,0.71224528701095,23.185663609441175,13.499800171681617,46.94000244140625,0.8988095238095238
DE,lear,4cd2e500,full,0.9,block,4,98.09601013545903,9.904342993629564,6.341364111439585,0.6987526594196307,22.75756511897507,13.428744064207859,46.94000244140625,0.8988095238095238
DE,lear,4cd2e500,full,0.95,mcar,0,102.9735452053409,10.147588147207241,6.495148159759881,0.715698069090442,23.146870374126884,13.72972513922633,46.94000244140625,0.9501766726107919
DE,lear,4cd2e500,full,0.95,mcar,1,102.43748298946998,10.121140399652106,6.497879558176119,0.7159990409119208,23.1817718834825,13.683957169212684,46.94000244140625,0.9504243444950796
DE,lear,4cd2e500,full,0.95,mcar,2,99.85478806153488,9.992736765347864,6.477502436313815,0.713753693090477,23.09962464004226,13.505273747471652,46.94000244140625,0.949020870484116
DE,lear,4cd2e500,full,0.95,mcar,3,101.60873529641981,10.080115837450471,6.506503074851457,0.7169492631518916,23.185928822210368,13.485989012932695,46.94000244140625,0.9504491116835083
DE,lear,4cd2e500,full,0.95,mcar,4,102.80066386805994,10.139066222688356,6.497034065270391,0.7159058763489,23.129393734555908,13.656832598209931,46.94000244140625,0.94934284393369
DE,lear,4cd2e500,full,0.95,block,0,104.6108188859989,10.227943042762748,6.720534681006267,0.7405333298246657,23.79327271682401,14.050740674292753,46.94000244140625,0.9523809523809523
DE,lear,4cd2e500,full,0.95,block,1,107.74420059452898,10.379990394722386,6.694306738333629,0.7376432821359435,23.704313024249757,13.946074504478306,46.94000244140625,0.9523809523809523
DE,lear,4cd2e500,full,0.95,block,2,109.02591727352474,10.441547647428743,6.770967075794976,0.7460904574962877,23.954897074355845,14.024722908882396,46.94000244140625,0.9523809523809523
DE,lear,4cd2e500,full,0.95,block,3,108.06530025198644,10.39544613049322,6.715562762565983,0.739985475897417,23.76166024848097,14.05642789622904,46.94000244140625,0.9523809523809523
DE,lear,4cd2e500,full,0.95,block,4,106.11874541307593,10.301395313891994,6.695261991745997,0.7377485411702115,23.73792371862002,14.038326979508449,46.94000244140625,0.9523809523809523
DE,lear,4cd2e500,full,1.0,mcar,0,113.05392077099506,10.632681729977394,6.973973070974433,0.7684596160112325,24.54319069454462,14.339187736467231,46.94000244140625,1.0
