market,model,mechanism,rate,MAE_mean,MAE_std,rMAE_mean,rMAE_std,MAE_spike_mean,MAE_spike_std,rate_eff,n
DE,dnn,block,0.1,4.607854219459572,0.07097752606166129,0.5077378200467991,0.00782098839035963,8.576072231411523,0.19295853214505068,0.10119047619047619,25
DE,dnn,block,0.2,4.7172051468151235,0.0916788070355076,0.5197871598981183,0.010102055189185052,8.951637733397874,0.32740565007336314,0.20238095238095238,25
DE,dnn,block,0.3,4.858262664664414,0.09078044163644858,0.5353302376959249,0.010003064624900805,9.521727602297597,0.3680006189272017,0.2976190476190476,25
DE,dnn,block,0.5,5.201874576789937,0.10706179876194073,0.5731927122655278,0.011797101584531556,10.614948560721324,0.37115586174544246,0.5,25
DE,dnn,block,0.7,5.8099150227023335,0.148321662706702,0.6401924730661315,0.016343511339915948,12.368857581590698,0.19707113035634852,0.7023809523809522,25
DE,dnn,block,0.9,7.061263411592897,0.19464948744931534,0.7780781076444073,0.021448357895822032,15.11002801923741,0.27596192180621765,0.8988095238095238,25
DE,dnn,block,0.95,7.584714595011633,0.1882251964137178,0.8357570076511697,0.020740467548079348,15.969644354233967,0.19714690155949066,0.9523809523809522,25
DE,dnn,mcar,0.1,4.563287052343248,0.06118019699951387,0.5028269797294685,0.00674142418034438,8.447257011043984,0.16119419772771043,0.10072650419391058,25
DE,dnn,mcar,0.2,4.615877291361491,0.06599020759517069,0.5086218794904238,0.007271437539692279,8.679571513227664,0.19196557281364898,0.20153886797437423,25
DE,dnn,mcar,0.3,4.692033429690329,0.07031331436996414,0.5170134973274139,0.007747799139934197,8.962901883900784,0.18940194014711123,0.3015933557889175,25
DE,dnn,mcar,0.5,4.967104365498282,0.10102704375363565,0.5473234660576624,0.011132134073299596,9.888969991831356,0.29893386497588526,0.5004342513704512,25
DE,dnn,mcar,0.7,5.509802199657791,0.14714158360804844,0.6071231476744532,0.016213478843119047,11.443368840773076,0.2795639574016121,0.6994699821676243,25
DE,dnn,mcar,0.9,6.763736241804026,0.197133333951491,0.7452936944667238,0.02172205205980383,14.221019130517593,0.3153734235772276,0.9001535565682584,25
DE,dnn,mcar,0.95,7.35041250949759,0.1941498598487204,0.809939344056493,0.021393304107946112,15.259959275620757,0.2733949259331822,0.9498827686414372,25
DE,dnn,mcar,1.0,8.09314746607579,0.19472781201342657,0.8917810451530606,0.021456988451725858,16.43805396906095,0.207082100898186,1.0,5
DE,dnn,none,0.0,4.528503501409742,0.07254530801181987,0.49899419260484973,0.00799374172667836,8.221007289248492,0.1539286395977111,0.0,5
